Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
St John US Virgin Islands,male,41,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,bad,Do,2,did,Married,Computer,Obedient,Intelligence,Strict,More free time,1,Optimistic,2,Mom,would not,Middle,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Family member,Seldom,Often,Other,Would,Have not,Do not,have,would,is not,is,No,Personality,38,,
Bangalore Karnataka India,male,27,would,I will go to heaven or hell,Exercise,Never,Family/Friends,bad,Do,4,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,3,Optimistic,3,Mom,would not,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,6,Alarm clock,Often,Often,Other,Would,Have not,Do not,have not,would not,is not,is,No,Nothing,28,,
Portugal,male,30,would,My spirit will return home,Exercise,At times,Music/Art,bad,,3,did not,Single,TV,,,,,,,,,,,,,,,,,,,,7,Naturally,Never,Seldom,Other,Would,Have not,Do not,,,,,,,,,
Goshen Indiana United States,female,32,would not,I will go to heaven or hell,Exercise,Constantly,Music/Art,good,Do not,1,did,Cohabitating,SmartPhone,Obedient,Nothing,Strict,More money,2,Optimistic,2,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Photo albums,,5,Alarm clock,Often,Seldom,Other,Would,Have,Do,have,would,is not,is,Yes,Personality,0,,
Boston Massachusetts United States,female,39,would,My spirit will return home,Environment,At times,Exercise,good,Do,4,did,Married,Tablet,Obedient,Intelligence,Strict,More free time,5,Optimistic,1,Mom,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Jewelry,Barack Obama,6,Naturally,Often,Seldom,Other,Would not,Have not,Do not,,,,,,,,,
,male,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donostia-San Sebasti� Pa�s Vasco Espa�,male,50,would,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do,3,did,Cohabitating,Tablet,,Nothing,,More free time,1,,1,Both about equally,would not,Youngest,I don't have a pet,,Do,,Home,,Do not,Photo albums,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is not,No,Nothing,44,,
,,30,would,Nothing. Game over.,Exercise,Sometimes,Music/Art,bad,Do,2,did not,Single,SmartPhone,Obedient,Immunity,Strict,Better health,2,Optimistic,2,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,6,Family member,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,,,
Fayetteville Arkansas United States,female,29,would not,Nothing. Game over.,Exercise,Sometimes,Exercise,bad,Do,1,did,Married,Computer,Obedient,Immunity,Strict,Better health,9,Optimistic,1,Dad,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Seldom,Often,Other,Would,Have,Do not,have not,would,is,is,Yes,Personality,22,,
Winona Minnesota United States,female,22,,I will go to heaven or hell,Proper diet,Sometimes,Family/Friends,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,More money,4,Optimistic,1,Dad,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Looks,,,
,male,40,would,I will go to heaven or hell,Exercise,At times,Alcohol/Drugs,bad,Do,1,did not,Married,Tablet,Obedient,Intelligence,Strict,More money,0,Optimistic,2,Dad,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,6,Alarm clock,Never,Seldom,Flying,Would not,Have,Do not,have,would,is not,is,Yes,Intelligence,27,,
Draper Utah United States,male,38,would not,I will go to heaven or hell,Exercise,Constantly,Family/Friends,bad,Do,2,did not,Married,Computer,Obedient,Intelligence,Strict,More money,1,Optimistic,2,Mom,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,6,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have,Do not,have,would not,is not,is,Yes,Sexual ability,22,,
San Antonio Texas United States,male,34,would,Nothing. Game over.,Exercise,Sometimes,Exercise,bad,Do,2,did not,Single,Computer,Obedient,Intelligence,Strict,More free time,10,Optimistic,2,Both about equally,would not,Youngest,Mom or Dad,Untrustworthy,Do,More,Work,Safe,Do not,Electronics,Mitt Romney,60,Alarm clock,Never,Never,Other,Would,Have not,Do not,have not,would,is not,is,No,Intelligence,0,,
Guanajuato Guanajuato M�xico,male,27,would,Nothing. Game over.,Exercise,Constantly,Exercise,good,Do,2,did not,Single,Computer,Obedient,Immunity,Strict,More money,8,Optimistic,2,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Naturally,Never,Never,Other,Would not,Have not,Do not,have not,would,is not,is,No,Intelligence,0,,
New South Wales Australia,female,29,would,My spirit will return home,Environment,Sometimes,Family/Friends,good,Do,10,did,Single,Other people,Obedient,Nothing,Strict,More money,2,Optimistic,2,Mom,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Often,Seldom,Other,Would,Have,Do not,have,would,is not,is not,No,Nothing,0,,
Hialeah Florida United States,female,20,would not,I will be reincarnated,Proper diet,Constantly,Music/Art,bad,Do not,2,did not,Single,SmartPhone,Obedient,Immunity,Strict,Better romance,14,Optimistic,3,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Electronics,Barack Obama,6,Naturally,Often,Often,Other,Would not,Have,Do,have,would,is not,is,Yes,Personality,0,,
Nottingham Nottingham United Kingdom,male,25,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do,10,did not,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,Better job,1,Optimistic,10,Dad,would not,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,70,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,have not,would,is not,is,Yes,Nothing,,,
Bowie Maryland United States,female,40,would not,My spirit will return home,Proper diet,Sometimes,Music/Art,bad,Do,10,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More free time,1,Optimistic,20,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,have not,would,is not,is,Yes,Intelligence,0,,
Ocala Florida United States,female,25,would,I will go to heaven or hell,Exercise,Sometimes,Exercise,bad,Do not,0,did,Single,SmartPhone,Obedient,Intelligence,Strict,Better romance,4,Optimistic,3,Dad,would,Middle,Mom or Dad,Untrustworthy,Do not,More,Home,Safe,Do,Photo albums,Barack Obama,8,Family member,Often,Often,Other,Would not,Have not,Do,have,would,is not,is,No,Sexual ability,0,,
,male,24,would,I will go to heaven or hell,Proper diet,Sometimes,Work,good,Do,1,did,Married,Computer,Obedient,Lifespan,Strict,More money,2,Optimistic,2,Both about equally,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,23,,
,male,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,21,,,,,,,Do,,,,,Obedient,Appearance,Strict,Better health,5,Optimistic,1,Neither,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,,,,,,,,,,,,,,,,,
,male,41,would,Nothing. Game over.,Proper diet,At times,Family/Friends,good,Do,1,did not,Married,SmartPhone,Obedient,Nothing,Strict,More money,0,Optimistic,2,Dad,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Money,,5,Naturally,Never,Often,Being unprepared,Would not,Have not,Do not,have not,would not,is,is,Yes,Sexual ability,28,,
Singapore,male,20,would,Nothing. Game over.,Exercise,Never,Music/Art,bad,Do not,1,did not,Single,Computer,Obedient,Intelligence,Strict,More free time,15,Optimistic,2,Mom,would not,Oldest,I don't have a pet,Untrustworthy,Do not,More,I don't feel safe,Safe,Do,Electronics,Barack Obama,6,Naturally,Never,Never,Other,Would,Have not,Do not,have,would not,is not,is,No,,,,
Schenectady New York United States,male,35,would,Nothing. Game over.,Proper diet,Constantly,Music/Art,,Do,1,did,,Computer,Obedient,Appearance,Strict,More free time,1,Optimistic,2,Both about equally,,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Often,Seldom,Other,Would,Have,Do not,have,would,is not,is,Yes,,27,,
,male,48,would,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do not,4,did,Divorced,TV,Obedient,Nothing,Strict,More money,6,Optimistic,1,Mom,would not,Middle,Can-opener,Untrustworthy,Do not,More,Home,Safe,Do,Other,Barack Obama,8,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,29,,
Mississauga Ontario Canada,male,36,would not,Nothing. Game over.,Proper diet,Constantly,Exercise,bad,Do,2,did not,Married,Computer,Obedient,Intelligence,Strict,More money,8,Optimistic,2,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Seldom,Often,Being unprepared,Would not,Have not,Do,have,would,is not,is,Yes,Looks,22,,
,male,21,would not,Nothing. Game over.,Environment,Sometimes,Exercise,bad,Do,3,did,Cohabitating,Computer,Obedient,Intelligence,Strict,Better job,2,Optimistic,0,Dad,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Never,Being unprepared,Would not,Have,Do not,have not,would,is not,is,Yes,Nothing,,,
Warszawa Mazowieckie Polska,male,37,would,I will go to heaven or hell,Proper diet,Constantly,Family/Friends,good,Do,2,did not,Married,Computer,Obedient,Nothing,Strict,More free time,1,Optimistic,2,Mom,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,6,Naturally,Seldom,Never,Being unprepared,Would,Have not,Do not,have not,would not,is,is not,Yes,Personality,26,,
??? ??? ??,male,41,would not,My spirit will return home,Exercise,Never,Alcohol/Drugs,bad,Do,1,did,Married,SmartPhone,Obedient,Appearance,Strict,More free time,1,Optimistic,1,Both about equally,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,4,Alarm clock,Seldom,Never,Being unprepared,Would not,Have not,Do not,have,would,is,is not,No,Personality,27,,
Hong Kong,male,44,would not,Nothing. Game over.,Proper diet,Sometimes,Exercise,bad,Do,1,did,Married,SmartPhone,Obedient,Immunity,Strict,More money,4,Optimistic,1,Dad,would not,Youngest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Naturally,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,22,,
Shreveport Louisiana United States,male,36,would not,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,good,Do,1,did,Married,Computer,Obedient,Immunity,Strict,More free time,4,Optimistic,1,Both about equally,would,Youngest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,27,,
,female,26,would,I will go to heaven or hell,Exercise,Constantly,Family/Friends,bad,Do,3,did not,Single,Computer,,Nothing,,Better job,3,,2,Dad,would,Oldest,I don't have a pet,,Do,,Home,,Do not,Electronics,Barack Obama,,,,Seldom,Being chased,,,,have not,would,is,is,Yes,Personality,,,
,,,would not,I will be reincarnated,Genes,Never,Alcohol/Drugs,good,Do not,,,Widowed,Other people,,Immunity,,More money,20,,8,Neither,would not,I don't have any siblings,Can-opener,Untrustworthy,Do not,More,I don't feel safe,Safe,Do not,Money,Mitt Romney,20,Rooster,Never,Never,Flying,Would not,Have,Do,have not,would,is,is not,No,All of the above,80,,
Tuggeranong Australian Capital Territory Australia,male,30,would,Nothing. Game over.,Exercise,At times,Family/Friends,good,Do,20,did,Married,Computer,Obedient,Immunity,Strict,More free time,0,Optimistic,2,Both about equally,would,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Often,Seldom,Being unprepared,Would,Have not,Do not,have not,would,is not,is,No,Sexual ability,26,,
Seattle Washington United States,male,29,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do,1,did,Married,Computer,Obedient,Lifespan,Strict,More money,6,Optimistic,2,Mom,would,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Child/Children,Seldom,Often,Being unprepared,Would,Have,Do not,have,would,is not,is,Yes,Personality,26,,
Lakewood Ranch Florida United States,male,27,would,Nothing. Game over.,Proper diet,Sometimes,Work,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More money,1,Optimistic,1,Neither,would not,Oldest,Owner,Untrustworthy,Do,More,Place of worship,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Seldom,Never,Other,Would,Have not,Do not,have,would,is not,is,No,Looks,24,,
Buenos Aires  Argentina,female,29,would not,Nothing. Game over.,Proper diet,Constantly,Exercise,bad,Do,2,did,Single,Computer,Obedient,Appearance,Strict,Better romance,10,Optimistic,0,Mom,would not,Middle,I don't have a pet,Untrustworthy,Do,,Home,Safe,Do not,Money,,7,Alarm clock,Often,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cork Cork Ireland,male,33,would,Nothing. Game over.,Proper diet,Constantly,Family/Friends,bad,Do,2,did,Married,Tablet,Obedient,Immunity,Strict,Better job,2,Optimistic,2,Dad,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Often,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,26,,
San Francisco California United States,female,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds West Yorkshire United Kingdom,male,26,would,Nothing. Game over.,Exercise,Sometimes,Exercise,bad,Do,1,did,Cohabitating,Tablet,Obedient,Intelligence,Strict,More money,1,Optimistic,2,Dad,would not,I don't have any siblings,Playmate,Untrustworthy,Do,More,Home,,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,,,,Have,Do not,,would,,is,No,Nothing,0,,
,male,42,would,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,bad,Do,2,did,Married,Print media,Obedient,Immunity,Strict,More free time,2,,2,Dad,would not,Youngest,Owner,,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Naturally,Never,Seldom,Flying,Would,Have,Do not,have,would,is not,is not,Yes,Sexual ability,25,,
Alpharetta Georgia United States,female,47,would,I will go to heaven or hell,Environment,Sometimes,Prayer,good,Do,1,did,Married,Computer,Obedient,Nothing,Strict,Better health,6,Optimistic,3,Dad,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,,,,,,,,,,,,,,,,,
Portland Oregon United States,male,19,would,Nothing. Game over.,Exercise,At times,Work,good,Do,2,did,Single,Computer,Obedient,Lifespan,Strict,Nothing,6,Optimistic,2,Mom,would,Oldest,Playmate,Untrustworthy,Do,More,I don't feel safe,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,,Nothing,,,
Dallas Texas United States,male,32,would,My spirit will return home,Proper diet,At times,Family/Friends,good,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,2,Optimistic,2,Mom,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,8,Alarm clock,Seldom,Often,Other,Would not,Have not,Do,have,would,is not,is,Yes,Nothing,33,,
Budapest Budapest Magyarorsz�,male,33,would not,Nothing. Game over.,Exercise,At times,Exercise,good,Do,20,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More free time,5,Optimistic,1,Neither,would not,I don't have any siblings,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Naturally,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is,is,Yes,Sexual ability,0,,
,male,30,would not,Nothing. Game over.,Environment,At times,Exercise,bad,Do,1,did,Single,Computer,,Nothing,,More money,0,,1,Dad,would not,Middle,I don't have a pet,Untrustworthy,Do,,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,,Never,Other,Would not,Have not,Do not,have not,would,is not,is not,Yes,Nothing,,,
Florida United States,female,28,would,I will go to heaven or hell,Exercise,At times,Alcohol/Drugs,good,Do,0,did,Single,Computer,Obedient,Nothing,Strict,Better health,10,Optimistic,3,Dad,would not,Middle,Peer,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,6,Alarm clock,Often,Seldom,Other,Would,Have,Do,have,would,is,is,No,Intelligence,0,,
Ipswich Massachusetts United States,male,18,would,I will go to heaven or hell,Proper diet,At times,Exercise,good,Do,2,did,Single,TV,Obedient,Lifespan,Strict,Better romance,3,Optimistic,2,Dad,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,8,Alarm clock,Often,Seldom,Other,Would not,Have not,Do not,have not,would not,is not,is,Yes,Nothing,21,,
Miami,female,28,would,I will go to heaven or hell,Proper diet,Constantly,Music/Art,bad,Do,2,did,Cohabitating,Computer,Obedient,Nothing,Strict,More money,6,Optimistic,2,Dad,would,Youngest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Often,Seldom,Being chased,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
Westminster Colorado United States,male,36,would,I will go to heaven or hell,Exercise,At times,Family/Friends,bad,Do,1,did not,Married,Computer,Obedient,Intelligence,Strict,More free time,2,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Mitt Romney,,,,,,,,,,,,,,,,,
,male,25,would not,Nothing. Game over.,Environment,Never,Family/Friends,good,,3,did not,Cohabitating,Print media,,,,,,,,,,,,,,,,,,,,,,,,,,,,have not,would not,is,is not,Yes,Intelligence,,,
,male,22,would not,I will go to heaven or hell,Exercise,At times,Family/Friends,bad,,20,did not,Single,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawtucket Rhode Island United States,male,18,would not,Nothing. Game over.,Proper diet,Constantly,Exercise,bad,Do,2,did not,Divorced,TV,Obedient,Intelligence,Strict,More money,7,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do not,Photo albums,Mitt Romney,6,Alarm clock,Often,Seldom,Falling,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,22,,
Cleveland,male,25,would,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,good,Do,1,did,Single,TV,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,,,,,,,,,,,,,,,,,,
Orchard Park New York United States,male,32,would not,I will go to heaven or hell,Proper diet,Constantly,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More free time,3,Optimistic,1,Dad,would not,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Never,Often,Other,Would,Have not,Do not,have not,would not,is not,is,Yes,Looks,28,,
Docklands Victoria Australia,male,34,would,I will be reincarnated,Exercise,At times,Family/Friends,bad,Do,1,did,Married,SmartPhone,Obedient,Immunity,Strict,More money,2,Optimistic,2,Both about equally,would not,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
,male,23,,,,,,,Do not,,,,,,,,,,,,,,,,Untrustworthy,Do not,More,Home,Safe,Do,Other,Barack Obama,,,,,,,,,,,,,,,,,
San Francisco California United States,female,28,,,,,,,Do,,,,,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do,,,10,Alarm clock,Often,Never,Being unprepared,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,,,
Hendersonville Tennessee United States,male,22,would,Nothing. Game over.,Environment,Sometimes,Music/Art,good,Do not,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,More money,6,Optimistic,2,Neither,would not,Oldest,Owner,Untrustworthy,Do not,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would,Have,Do not,have not,would,is not,is,No,Personality,0,,
,,26,would not,Nothing. Game over.,Proper diet,Never,Exercise,bad,Do,2,did not,Single,Computer,Obedient,Intelligence,Strict,Nothing,4,Optimistic,3,Dad,would,Middle,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do not,Electronics,,6,Alarm clock,Often,Often,Being unprepared,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,26,,
??????  ??????,female,40,would not,Nothing. Game over.,Exercise,Constantly,Alcohol/Drugs,bad,Do,2,did not,Married,Computer,Obedient,Nothing,Strict,More money,3,Optimistic,1,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Mitt Romney,7,Alarm clock,Seldom,Often,Other,Would not,Have not,Do not,have,would,is,is,No,Nothing,23,,
Minier Illinois United States,male,34,would,Nothing. Game over.,Environment,At times,Music/Art,good,Do not,1,did not,Married,Computer,Obedient,Intelligence,Strict,More money,0,Optimistic,2,Mom,would,I don't have any siblings,Owner,Untrustworthy,Do not,More,Home,Safe,Do,Gun,Barack Obama,6,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do,have,would,is not,is,Yes,Sexual ability,28,,
Livermore California United States,female,40,would not,Nothing. Game over.,Environment,At times,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Lifespan,Strict,Better health,8,Optimistic,2,Both about equally,would,I don't have any siblings,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Seldom,Often,Other,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,21,,
,male,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockholm  Sverige,male,38,would,I will be reincarnated,Exercise,Constantly,Exercise,bad,Do,2,did,Married,Tablet,Obedient,Nothing,Strict,More free time,2,Optimistic,2,Mom,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Often,Seldom,Being unprepared,Would not,Have not,Do not,have,would,is not,is,No,Nothing,37,,
Daventry Northamptonshire United Kingdom,male,25,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,4,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have not,would,is not,is not,Yes,Nothing,0,,
Bucharest  Romania,male,28,would,Nothing. Game over.,Exercise,At times,Work,good,,2,did,Cohabitating,Computer,Obedient,Appearance,Strict,More money,2,Optimistic,2,Both about equally,would not,Oldest,I don't have a pet,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Hill Florida United States,male,54,would,I will go to heaven or hell,Proper diet,At times,Exercise,good,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,More free time,12,Optimistic,1,Mom,would,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,7,Naturally,Seldom,Seldom,Other,Would not,Have,Do not,have,would,is not,is,No,,,,
Beijing Beijing China,male,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok  Thailand,male,50,would not,I will go to heaven or hell,Proper diet,At times,Family/Friends,bad,,1,did not,Married,TV,Obedient,Intelligence,Strict,More money,0,Optimistic,3,Neither,would,Middle,Mom or Dad,,,,,,,,,,,,,,,,,,,,,,,,,
,male,30,would,I will be reincarnated,Environment,Constantly,Exercise,good,Do,1,did not,Single,SmartPhone,Obedient,Intelligence,Strict,More free time,10,Optimistic,1,Dad,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,8,Alarm clock,Often,Seldom,Being chased,Would,Have not,Do not,have not,would not,is not,is,No,Personality,0,,
Vancouver Washington United States,male,25,would,Nothing. Game over.,Proper diet,Never,Family/Friends,good,,1,did,Married,SmartPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,male,26,would,My spirit will return home,Proper diet,At times,Music/Art,bad,,3,did not,Single,Print media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????  ????,male,41,would not,Nothing. Game over.,Exercise,Sometimes,Music/Art,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More money,2,Optimistic,1,Both about equally,would not,Middle,Owner,Untrustworthy,Do,More,Work,Safe,Do not,Money,Barack Obama,8,Naturally,Often,Seldom,Being unprepared,Would not,Have not,Do,have not,would not,is,is,No,Nothing,28,,
,male,26,would,Nothing. Game over.,Proper diet,Never,Exercise,bad,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More free time,1,Optimistic,1,Both about equally,would not,I don't have any siblings,Owner,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,,,
